municipio_norm,municipio,comarca_modelo
AGUA BRANCA,Água Branca,Comarca Int.Pric.Isabel e Agua Branca
AGUIAR,Aguiar,Comarca de Piancó
ALAGOA GRANDE,Alagoa Grande,Comarca de Alagoa Grande
ALAGOA NOVA,Alagoa Nova,Comarca de Alagoa Nova
ALAGOINHA,Alagoinha,Comarca de Alagoinha
ALCANTIL,Alcantil,Comarca de Boqueirão
ALGODAO DE JANDAIRA,Algodão de Jandaíra,Comarca de Remígio
ALHANDRA,Alhandra,Comarcas Integradas do Litoral Sul
AMPARO,Amparo,Comarca de Sumé
APARECIDA,Aparecida,Comarca de Sousa
ARACAGI,Araçagi,Comarca de Guarabira
ARARA,Arara,Comarca de Solânea
ARARUNA,Araruna,Comarca de Araruna
AREIA,Areia,Comarca de Areia
AREIA DE BARAUNAS,Areia de Baraúnas,Comarca de Patos
AREIAL,Areial,Comarca de Esperança
AROEIRAS,Aroeiras,Comarca de Umbuzeiro
ASSUNCAO,Assunção,Comarca de Taperoá
BAIA DA TRAICAO,Baía da Traição,Comarca de Rio Tinto
BANANEIRAS,Bananeiras,Comarca de Bananeiras
BARAUNA,Baraúna,Comarca de Picuí
BARRA DE SANTA ROSA,Barra de Santa Rosa,Comarca de Cuité
BARRA DE SANTANA,Barra de Santana,Comarca de Boqueirão
BARRA DE SAO MIGUEL,Barra de São Miguel,Comarca de Boqueirão
BAYEUX,Bayeux,Comarca Integrada de Bayeux e Santa Rita
BELEM,Belém,Comarca de Belém
BELEM DO BREJO DO CRUZ,Belém do Brejo do Cruz,Comarca de Catolé do Rocha
BERNARDINO BATISTA,Bernardino Batista,Comarca de São João do Rio do Peixe
BOA VENTURA,Boa Ventura,Comarca de Itaporanga
BOA VISTA,Boa Vista,Comarca de Campina Grande
BOM JESUS,Bom Jesus,Comarca de Cajazeiras
BOM SUCESSO,Bom Sucesso,Comarca de Catolé do Rocha
BONITO DE SANTA FE,Bonito de Santa Fé,Comarca de São José de Piranhas
BOQUEIRAO,Boqueirão,Comarca de Boqueirão
BORBOREMA,Borborema,Comarca de Bananeiras
BREJO DO CRUZ,Brejo do Cruz,Comarca de Catolé do Rocha
BREJO DOS SANTOS,Brejo dos Santos,Comarca de Catolé do Rocha
CAAPORA,Caaporã,Comarcas Integradas do Litoral Sul
CABACEIRAS,Cabaceiras,Comarca de Boqueirão
CABEDELO,Cabedelo,Comarca de Cabedelo
CACHOEIRA DOS INDIOS,Cachoeira dos Índios,Comarca de Cajazeiras
CACIMBA DE AREIA,Cacimba de Areia,Comarca de Patos
CACIMBA DE DENTRO,Cacimba de Dentro,Comarca de Araruna
CACIMBAS,Cacimbas,Comarca de Teixeira
CAICARA,Caiçara,Comarca de Belém
CAJAZEIRAS,Cajazeiras,Comarca de Cajazeiras
CAJAZEIRINHAS,Cajazeirinhas,Comarca de Pombal
CALDAS BRANDAO,Caldas Brandão,Comarca de Gurinhém
CAMALAU,Camalaú,Comarca de Monteiro
CAMPINA GRANDE,Campina Grande,Comarca de Campina Grande
CAPIM,Capim,Comarca de Mamanguape
CARAUBAS,Caraúbas,Comarca de Serra Branca
CARRAPATEIRA,Carrapateira,Comarca de São José de Piranhas
CASSERENGUE,Casserengue,Comarca de Solânea
CATINGUEIRA,Catingueira,Comarca de Piancó
CATOLE DO ROCHA,Catolé do Rocha,Comarca de Catolé do Rocha
CATURITE,Caturité,Comarca de Queimadas
CONCEICAO,Conceição,Comarca de Conceição
CONDADO,Condado,Comarca de Patos
CONDE,Conde,Comarcas Integradas do Litoral Sul
CONGO,Congo,Comarca de Sumé
COREMAS,Coremas,Comarca de Coremas
COXIXOLA,Coxixola,Comarca de Serra Branca
CRUZ DO ESPIRITO SANTO,Cruz do Espírito Santo,Comarca Integrada de Bayeux e Santa Rita
CUBATI,Cubati,Comarca de Soledade
CUITE,Cuité,Comarca de Cuité
CUITE DE MAMANGUAPE,Cuité de Mamanguape,Comarca de Mamanguape
CUITEGI,Cuitegi,Comarca de Guarabira
CURRAL DE CIMA,Curral de Cima,Comarca de Jacaraú
CURRAL VELHO,Curral Velho,Comarca de Itaporanga
DAMIAO,Damião,Comarca de Cuité
DESTERRO,Desterro,Comarca de Teixeira
DIAMANTE,Diamante,Comarca de Itaporanga
DONA INES,Dona Inês,Comarca de Belém
DUAS ESTRADAS,Duas Estradas,Comarca de Guarabira
EMAS,Emas,Comarca de Piancó
ESPERANCA,Esperança,Comarca de Esperança
FAGUNDES,Fagundes,Comarca de Queimadas
FREI MARTINHO,Frei Martinho,Comarca de Picuí
GADO BRAVO,Gado Bravo,Comarca de Umbuzeiro
GUARABIRA,Guarabira,Comarca de Guarabira
GURINHEM,Gurinhém,Comarca de Gurinhém
GURJAO,Gurjão,Comarca de Serra Branca
IBIARA,Ibiara,Comarca de Conceição
IGARACY,Igaracy,Comarca de Piancó
IMACULADA,Imaculada,Comarca de Água Branca
INGA,Ingá,Comarca de Ingá
ITABAIANA,Itabaiana,Comarca de Itabaiana
ITAPORANGA,Itaporanga,Comarca de Itaporanga
ITAPOROROCA,Itapororoca,Comarca de Mamanguape
ITATUBA,Itatuba,Comarca de Ingá
JACARAU,Jacaraú,Comarca de Jacaraú
JERICO,Jericó,Comarca de Catolé do Rocha
JOAO PESSOA,João Pessoa,Comarca de João Pessoa
JOCA CLAUDINO,Joca Claudino,Comarca de Sousa
JUAREZ TAVORA,Juarez Távora,Comarca de Alagoa Grande
JUAZEIRINHO,Juazeirinho,Comarca de Juazeirinho
JUNCO DO SERIDO,Junco do Seridó,Comarca de Santa Luzia
JURIPIRANGA,Juripiranga,Comarca de Itabaiana
JURU,Juru,Comarca de Água Branca
LAGOA,Lagoa,Comarca de Pombal
LAGOA DE DENTRO,Lagoa de Dentro,Comarca de Jacaraú
LAGOA SECA,Lagoa Seca,Comarca de Campina Grande
LASTRO,Lastro,Comarca de Sousa
LIVRAMENTO,Livramento,Comarca de Taperoá
LOGRADOURO,Logradouro,Comarca de Belém
LUCENA,Lucena,Comarca de Cabedelo
MAE D'AGUA,Mãe d'Água,Comarca de Teixeira
MALTA,Malta,Comarca de Patos
MAMANGUAPE,Mamanguape,Comarca de Mamanguape
MANAIRA,Manaíra,Comarca Int.Pric.Isabel e Agua Branca
MARCACAO,Marcação,Comarca de Rio Tinto
MARI,Mari,Comarca de Sapé
MARIZOPOLIS,Marizópolis,Comarca de Sousa
MASSARANDUBA,Massaranduba,Comarca de Campina Grande
MATARACA,Mataraca,Comarca de Mamanguape
MATINHAS,Matinhas,Comarca de Alagoa Nova
MATO GROSSO,Mato Grosso,Comarca de Catolé do Rocha
MATUREIA,Maturéia,Comarca de Teixeira
MOGEIRO,Mogeiro,Comarca de Itabaiana
MONTADAS,Montadas,Comarca de Esperança
MONTE HOREBE,Monte Horebe,Comarca de São José de Piranhas
MONTEIRO,Monteiro,Comarca de Monteiro
MULUNGU,Mulungu,Comarca de Alagoinha
NATUBA,Natuba,Comarca de Umbuzeiro
NAZAREZINHO,Nazarezinho,Comarca de Sousa
NOVA FLORESTA,Nova Floresta,Comarca de Cuité
NOVA OLINDA,Nova Olinda,Comarca de Piancó
NOVA PALMEIRA,Nova Palmeira,Comarca de Picuí
OLHO D'AGUA,Olho d'Água,Comarca de Piancó
OLIVEDOS,Olivedos,Comarca de Soledade
OURO VELHO,Ouro Velho,Comarca de Sumé
PARARI,Parari,Comarca de Serra Branca
PASSAGEM,Passagem,Comarca de Patos
PATOS,Patos,Comarca de Patos
PAULISTA,Paulista,Comarca de São Bento
PEDRA BRANCA,Pedra Branca,Comarca de Itaporanga
PEDRA LAVRADA,Pedra Lavrada,Comarca de Picuí
PEDRAS DE FOGO,Pedras de Fogo,Comarca de Pedras de Fogo
PEDRO REGIS,Pedro Régis,Comarca de Jacaraú
PIANCO,Piancó,Comarca de Piancó
PICUI,Picuí,Comarca de Picuí
PILAR,Pilar,Comarca de Itabaiana
PILOES,Pilões,Comarca de Guarabira
PILOEZINHOS,Pilõezinhos,Comarca de Guarabira
PIRPIRITUBA,Pirpirituba,Comarca de Guarabira
PITIMBU,Pitimbu,Comarcas Integradas do Litoral Sul
POCINHOS,Pocinhos,Comarca de Pocinhos
POCO DANTAS,Poço Dantas,Comarca de Sousa
POCO DE JOSE DE MOURA,Poço de José de Moura,Comarca de São João do Rio do Peixe
POMBAL,Pombal,Comarca de Pombal
PRATA,Prata,Comarca de Sumé
PRINCESA ISABEL,Princesa Isabel,Comarca Int.Pric.Isabel e Agua Branca
PUXINANA,Puxinanã,Comarca de Pocinhos
QUEIMADAS,Queimadas,Comarca de Queimadas
QUIXABA,Quixaba,Comarca de Patos
REMIGIO,Remígio,Comarca de Remígio
RIACHAO,Riachão,Comarca de Araruna
RIACHAO DO BACAMARTE,Riachão do Bacamarte,Comarca de Ingá
RIACHAO DO POCO,Riachão do Poço,Comarca de Sapé
RIACHO DE SANTO ANTONIO,Riacho de Santo Antônio,Comarca de Boqueirão
RIACHO DOS CAVALOS,Riacho dos Cavalos,Comarca de Catolé do Rocha
RIO TINTO,Rio Tinto,Comarca de Rio Tinto
SALGADINHO,Salgadinho,Comarca de Taperoá
SALGADO DE SAO FELIX,Salgado de São Félix,Comarca de Itabaiana
SANTA CECILIA,Santa Cecília,Comarca de Umbuzeiro
SANTA CRUZ,Santa Cruz,Comarca de Sousa
SANTA HELENA,Santa Helena,Comarca de São João do Rio do Peixe
SANTA INES,Santa Inês,Comarca de Conceição
SANTA LUZIA,Santa Luzia,Comarca de Santa Luzia
SANTA RITA,Santa Rita,Comarca Integrada de Bayeux e Santa Rita
SANTA TERESINHA,Santa Teresinha,Comarca de Patos
SANTANA DE MANGUEIRA,Santana de Mangueira,Comarca de Conceição
SANTANA DOS GARROTES,Santana dos Garrotes,Comarca de Piancó
SANTO ANDRE,Santo André,Comarca de Juazeirinho
SAO BENTINHO,São Bentinho,Comarca de Pombal
SAO BENTO,São Bento,Comarca de São Bento
SAO DOMINGOS,São Domingos,Comarca de Pombal
SAO DOMINGOS DO CARIRI,São Domingos do Cariri,Comarca de Boqueirão
SAO FRANCISCO,São Francisco,Comarca de Sousa
SAO JOAO DO CARIRI,São João do Cariri,Comarca de Serra Branca
SAO JOAO DO RIO DO PEIXE,São João do Rio do Peixe,Comarca de São João do Rio do Peixe
SAO JOAO DO TIGRE,São João do Tigre,Comarca de Monteiro
SAO JOSE DA LAGOA TAPADA,São José da Lagoa Tapada,Comarca de Sousa
SAO JOSE DE CAIANA,São José de Caiana,Comarca de Itaporanga
SAO JOSE DE ESPINHARAS,São José de Espinharas,Comarca de Patos
SAO JOSE DE PIRANHAS,São José de Piranhas,Comarca de São José de Piranhas
SAO JOSE DE PRINCESA,São José de Princesa,Comarca Int.Pric.Isabel e Agua Branca
SAO JOSE DO BONFIM,São José do Bonfim,Comarca de Patos
SAO JOSE DO BREJO DO CRUZ,São José do Brejo do Cruz,Comarca de Catolé do Rocha
SAO JOSE DO SABUGI,São José do Sabugi,Comarca de Santa Luzia
SAO JOSE DOS CORDEIROS,São José dos Cordeiros,Comarca de Serra Branca
SAO JOSE DOS RAMOS,São José dos Ramos,Comarca de Itabaiana
SAO MAMEDE,São Mamede,Comarca de Patos
SAO MIGUEL DE TAIPU,São Miguel de Taipu,Comarca de Itabaiana
SAO SEBASTIAO DE LAGOA DE ROCA,São Sebastião de Lagoa de Roça,Comarca de Esperança
SAO SEBASTIAO DO UMBUZEIRO,São Sebastião do Umbuzeiro,Comarca de Monteiro
SAO VICENTE DO SERIDO,São Vicente do Seridó,Comarca de Soledade
SAPE,Sapé,Comarca de Sapé
SERRA BRANCA,Serra Branca,Comarca de Serra Branca
SERRA DA RAIZ,Serra da Raiz,Comarca de Guarabira
SERRA GRANDE,Serra Grande,Comarca de Itaporanga
SERRA REDONDA,Serra Redonda,Comarca de Ingá
SERRARIA,Serraria,Comarca de Bananeiras
SERTAOZINHO,Sertãozinho,Comarca de Guarabira
SOBRADO,Sobrado,Comarca de Sapé
SOLANEA,Solânea,Comarca de Solânea
SOLEDADE,Soledade,Comarca de Soledade
SOSSEGO,Sossêgo,Comarca de Soledade
SOUSA,Sousa,Comarca de Sousa
SUME,Sumé,Comarca de Sumé
TACIMA,Tacima,Comarca de Araruna
TAPEROA,Taperoá,Comarca de Taperoá
TAVARES,Tavares,Comarca Int.Pric.Isabel e Agua Branca
TEIXEIRA,Teixeira,Comarca de Teixeira
TENORIO,Tenório,Comarca de Juazeirinho
TRIUNFO,Triunfo,Comarca de São João do Rio do Peixe
UIRAUNA,Uiraúna,Comarca de Sousa
UMBUZEIRO,Umbuzeiro,Comarca de Umbuzeiro
VARZEA,Várzea,Comarca de Santa Luzia
VIEIROPOLIS,Vieirópolis,Comarca de Sousa
VISTA SERRANA,Vista Serrana,Comarca de Patos
ZABELE,Zabelê,Comarca de Monteiro
CAMPO DE SANTANA,Campo De Santana,Comarca de Araruna
SANTAREM,Santarem,Comarca de Sousa
SERIDO,Serido,Comarca de Soledade
